image url,date taken,image size,dimensions,extension,location,account,description,date accessed
https://images.ala.org.au/store/c/6/c/5/c58a267d-5edf-449b-ac5e-410560555c6c/original,2021-01-02,NA,NA,NA,"long: 138.5620833333, lat: -35.0204666667",stephen169,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/7/9/9/7/8a578d91-2670-44d3-afd5-acbd21d27997/original,2021-01-20,NA,NA,NA,"long: 144.8759307861, lat: -37.7928771972",fairypossum,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/6/9/9/a/0e63e261-858f-4e3b-84f5-be431e28a996/original,2020-01-19,NA,NA,NA,"long: 145.686546098, lat: -37.7539740784",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/b/c/2/f/fdad49df-beba-496e-9c99-8f1857f0f2cb/original,2021-01-28,NA,NA,NA,"long: 145.41725, lat: -37.87162",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/e/d/e/f/6e92c9dd-c6f3-42c6-9b24-44df1ae7fede/original,2018-01-27,NA,NA,NA,"long: 146.415433, lat: -38.373467",kenharris,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/3/6/3/3/05d23aba-5a16-45a2-b944-3d577e6a3363/original,2018-01-01,NA,NA,NA,"long: 145.411, lat: -37.878",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/5/5/8/c/83a84cd1-ff7b-43b9-bd3b-02e2257ec855/original,2021-01-06,NA,NA,NA,"long: 145.0281273433, lat: -37.961525334",johneichler,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/3/c/1/f/39e562fe-e9fe-46e7-9fdd-44d4f0b7f1c3/original,2019-01-08,NA,NA,NA,"long: 150.4, lat: -33.7",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/7/b/b/d/5614bd26-4d5c-4c7d-911d-6fe4ebacdbb7/original,2019-01-28,NA,NA,NA,"long: 146.3189340806, lat: -36.3373855349",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/1/4/f/d/294334c1-02f5-4782-ac48-f786260bdf41/original,2021-01-07,NA,NA,NA,"long: 145.5722400814, lat: -37.8985627045",a_kurek,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/a/3/4/d/92391d3e-f8a1-46fd-9e79-8b79bca0d43a/original,2021-01-18,NA,NA,NA,"long: 146.3188316667, lat: -36.3372066667",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/8/d/c/5/9d25d3e9-aebb-4efd-ae71-4366d8f05cd8/original,2018-01-08,NA,NA,NA,"long: 142.538469, lat: -37.225001",matthew_connors,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/9/1/6/2/c00baab8-99f6-476c-851a-04ceb1332619/original,2016-01-09,NA,NA,NA,"long: 146.41373, lat: -38.361",kenharris,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/4/5/6/9/4987223c-2d9c-42b9-9c15-e60f53279654/original,2019-01-30,NA,NA,NA,"long: 138.799800368, lat: -34.9290386313",stephen169,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/9/b/b/b/c63dde7d-b3ce-489f-804c-ecd3f00bbbb9/original,2015-01-31,NA,NA,NA,"long: 145.6981964111328, lat: -37.41572952270508",1370,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/e/f/c/4/024f5554-80c0-4ab1-ad91-513fe79d4cfe/original,2020-01-28,NA,NA,NA,"long: 146.4312248022, lat: -37.853664297",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/3/d/9/3/3f76e306-c3cc-48b5-a24c-6b4a734c39d3/original,2021-01-20,NA,NA,NA,"long: 144.8754272458, lat: -37.7927207944",fairypossum,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/d/0/c/a/23df9026-f200-486e-a7df-a37345aaac0d/original,2021-01-02,NA,NA,NA,"long: 149.1432805, lat: -35.16149167",superstaryn,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/a/2/6/6/3451452d-30cb-4026-8f2e-b4bb56b8662a/original,2018-06-16,NA,NA,NA,"long: 150.0, lat: -36.1",NA,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/c/e/4/e/19d5a57d-8273-4f1b-b8d2-3d426377e4ec/original,2019-06-16,NA,NA,NA,"long: 143.7473000596, lat: -38.5515291344",reiner,NA,2021-04-10 15:06:53
https://images.ala.org.au/store/0/8/2/e/91c7d3ad-1ee4-4f23-bf30-3127aa5ae280/original,2015-06-21,NA,NA,NA,"long: 146.385833, lat: -38.369444",NA,NA,2021-04-10 15:06:53
