image url,microsoft azure labels,gluon labels,google label description,google object detection
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173530028_355927569189856_5868181808126076700_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=FN5i-JbMzl8AX_M2xUh&edm=ALQROFkAAAAA&ccb=7-4&oh=ec9d968257327eab56a41edd4bd28fab&oe=609C46A1&_nc_sid=30a2ef&ig_cache_key=MjU1MTg5OTk1ODYxMzcyMTQzMA%3D%3D.2-ccb7-4,"['grass', 'outdoor', 'field', 'animal', 'grassy', 'plant', 'hill', 'lagomorph', 'open', 'lush', 'day', 'distance']",['hare'],"['Ecoregion', 'Vertebrate', 'Natural landscape', 'Plant', 'Grassland', 'Grass', 'Plain', 'Beak', 'Terrestrial animal', 'Meadow']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/174409292_154903949880300_7557836969390611165_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=BHLQ0V-cSF4AX8lbSah&edm=ABZsPhsAAAAA&ccb=7-4&oh=a2e227dec461a4c8ba49b2aa208ad553&oe=609B97D7&_nc_sid=4efc9f,"['grass', 'outdoor', 'animal', 'mammal', 'field', 'rabbit', 'kangaroo', 'rabbits and hares', 'green', ""audubon's cottontail"", 'hare', 'mountain cottontail', 'eastern cottontail', 'domestic rabbit', 'deer', 'brown hare', 'lower keys marsh rabbit', 'grassy', 'black tailed jackrabbit', 'snowshoe hare', 'wood rabbit', 'fawn', 'lush', 'day']","['wood rabbit', 'hare']","['Rabbit', 'Plant', 'wood rabbit', 'Ecoregion', 'Mountain Cottontail', ""Audubon's Cottontail"", 'Hare', 'Grass', 'Lower Keys Marsh Rabbit', 'Sky']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172534872_484398482752161_1764311725765525894_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=nhLkbgUf5h8AX87Q9Jr&edm=ABZsPhsAAAAA&ccb=7-4&oh=41f9662abb41056ae0f91d2bee752fdd&oe=609DFCF2&_nc_sid=4efc9f,"['grass', 'lagomorph', 'outdoor', 'mammal', 'animal', 'rabbit', 'rabbits and hares', 'mountain cottontail', ""audubon's cottontail"", 'eastern cottontail', 'hare', 'laying', 'domestic rabbit', 'lower keys marsh rabbit', 'field', 'brown hare', 'bunny', 'snowshoe hare', 'wood rabbit', 'black tailed jackrabbit', 'rodent', 'pygmy rabbit', 'marsupial']","['hare', 'wood rabbit']","['Rabbit', 'Plant', ""Audubon's Cottontail"", 'Rabbits and Hares', 'Mountain Cottontail', 'Grass', 'Eastern Cottontail', 'Fawn', 'Domestic rabbit', 'Groundcover']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/174171380_134145445346119_385059570669667933_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=szaCziBL2dsAX9wtF4m&edm=ALQROFkAAAAA&ccb=7-4&oh=6984dde64be874a893db450ed5f29ae3&oe=609C2018&_nc_sid=30a2ef&ig_cache_key=MjU1MTg0MzExMTQxODc4OTI5Nw%3D%3D.2-ccb7-4,"['mammal', 'animal', 'grass', 'hay', 'lagomorph', 'art', 'bird', 'dry']",['wood rabbit'],"['Rabbit', 'Organism', 'Whiskers', 'Fawn', 'Grass', 'Mountain Cottontail', 'Twig', 'Adaptation', 'Squirrel', 'Snout']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/173047294_470205047544304_3314222549873307768_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=7Lp6u_LFjEEAX8tq0Vk&edm=ABZsPhsAAAAA&ccb=7-4&oh=1cce242c00be3ea5420c345767dff570&oe=6079E0E9&_nc_sid=4efc9f,"['carnivore', 'cat', 'blurry', 'blur']",['soccer ball'],"['Cloud', 'Tints and shades', 'Electric blue', 'Human leg', 'Pattern', 'Meteorological phenomenon', 'Fur', 'Tail', 'Macro photography', 'Whiskers']",['Animal']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172686475_1779865412193444_8735534550048761910_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=DXKZRKxFphMAX-lSVyD&edm=ALQROFkAAAAA&ccb=7-4&oh=b9e8625a0f9ccd761c9c2d3251d28ae9&oe=609C7953&_nc_sid=30a2ef&ig_cache_key=MjU1MTgzMjM5NzYxNTQxMjMyNA%3D%3D.2-ccb7-4,"['lagomorph', 'grass', 'mammal', 'outdoor', 'animal', 'rabbit', ""audubon's cottontail"", 'mountain cottontail', 'eastern cottontail', 'rabbits and hares', 'butterfly', 'hare', 'brown hare']",['wood rabbit'],"['Rabbit', 'Plant', 'wood rabbit', 'Mountain Cottontail', ""Audubon's Cottontail"", 'Rabbits and Hares', 'Fawn', 'Hare', 'Terrestrial animal', 'Grass']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/171594420_3870587259703872_3580600588437988174_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=_2D1QY5CwWAAX_Jw6A_&edm=ABZsPhsAAAAA&ccb=7-4&oh=ef9f6e7f9fd499bd599277e5103b4519&oe=607A1177&_nc_sid=4efc9f,"['grass', 'animal', 'outdoor', 'mammal', 'mouse', 'hamster', 'laying', 'pig', 'rat', 'rabbit', 'muroidea', 'muridae', 'packrats', 'rodent', 'squirrel']",['weasel'],"['Plant', 'Rodent', 'Whiskers', 'Fawn', 'Grass', 'Terrestrial animal', 'Pest', 'Groundcover', 'Terrestrial plant', 'Snout']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/174485493_985565321979666_3547088681748661154_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=IwOfy2so69UAX92lTX0&edm=ALQROFkAAAAA&ccb=7-4&oh=fa5e42906dc4c46c3714654804845420&oe=609B7ACB&_nc_sid=30a2ef&ig_cache_key=MjU1MTc4MTEyNTU5NTM0NzUxMA%3D%3D.2-ccb7-4,"['animal', 'mammal', 'cat', 'rabbit', 'squirrel', 'lagomorph', 'rodent', 'rabbits and hares', 'grey', 'domestic rabbit', 'gray']","['hare', 'wood rabbit', 'fox squirrel']","['Whiskers', 'Rabbit', 'Terrestrial animal', 'Beak', 'Rodent', 'Tail', 'Rabbits and Hares', 'Grass', 'Hare', 'Mountain Cottontail']",['Rabbit']
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172465429_1676982912485250_1469363774727318798_n.jpg?tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=fzD2Gm4qlzcAX-Vld8q&edm=ABZsPhsAAAAA&ccb=7-4&oh=6eaa11b8d016521d5e63ea4f6933a816&oe=6079FD74&_nc_sid=4efc9f,"['tree', 'outdoor', 'grass', 'flower', 'plant', 'spring']","['pole', 'flagpole']","['Flower', 'Plant', 'Botany', 'Tree', 'Twig', 'Trunk', 'Grass', 'Wood', 'Groundcover', 'Natural landscape']",[]
https://scontent-syd2-1.cdninstagram.com/v/t51.2885-15/e35/172283691_483068656221660_1805934171360471174_n.jpg?se=7&tp=1&_nc_ht=scontent-syd2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=bCXZEGtc-xEAX_l6BqN&edm=ALQROFkAAAAA&ccb=7-4&oh=b0026b554bffd23e177051d18420dfe5&oe=609B7483&_nc_sid=30a2ef&ig_cache_key=MjU1MTcyNzY0OTAyMjE0NTY2OQ%3D%3D.2-ccb7-4,"['animal', 'mammal', 'grass', 'outdoor', 'rabbit', 'lagomorph', 'standing', 'rabbits and hares', ""audubon's cottontail"", 'marsupial', 'mountain cottontail', 'hare', 'domestic rabbit', 'eastern cottontail', 'kangaroo', 'brown hare', 'snowshoe hare', 'lower keys marsh rabbit', 'wood rabbit', 'wood', 'dirt']","['wood rabbit', 'hare']","['Rabbit', 'Plant', ""Audubon's Cottontail"", 'Mountain Cottontail', 'Natural environment', 'Hare', 'Organism', 'Rabbits and Hares', 'wood rabbit', 'Domestic rabbit']",['Rabbit']
