image url,microsoft azure labels,gluon labels,google label description,google object detection
https://pbs.twimg.com/media/D3SRizjW0AA20V8?format=jpg&name=medium,"['text', 'drawing', 'sketch', 'cartoon', 'illustration', 'comic']",['crossword puzzle'],"['Hairstyle', 'White', 'Product', 'Rectangle', 'Cartoon', 'Organism', 'Gesture', 'Art', 'Style', 'Line']",['Animal']
https://pbs.twimg.com/media/D3Ls7zkX4Agp7Oq?format=jpg&name=medium,"['text', 'drawing', 'cartoon', 'sketch', 'comic', 'illustration']",['crossword puzzle'],"['Hairstyle', 'Facial expression', 'Rectangle', 'Organism', 'Cartoon', 'Gesture', 'Font', 'Style', 'Art', 'Adaptation']","['Person', 'Animal']"
https://pbs.twimg.com/media/D3HwdQOXkAEmVGn?format=jpg&name=medium,"['text', 'drawing', 'sketch', 'cartoon', 'comic', 'illustration']","['crossword puzzle', 'comic book']","['Vertebrate', 'Product', 'Rectangle', 'Cartoon', 'Jaw', 'Organism', 'Mammal', 'Gesture', 'Font', 'Art']","['Animal', 'Person', 'Picture frame']"
https://pbs.twimg.com/media/D5JGz3xUIAIoRKw?format=jpg&name=small,"['person', 'human face', 'clothing', 'smile', 'boy', 'toddler', 'baby', 'posing']",['knee pad'],"['Skin', 'Shoe', 'Hairstyle', 'Leg', 'Smile', 'Flash photography', 'Finger', 'Cool', 'Sneakers', 'Leisure']","['Top', 'Person', 'Shorts', 'Footwear', 'Shoe']"
https://pbs.twimg.com/media/D6aGfjMXkAAfFcI?format=jpg&name=small,"['toad', 'true toad', 'frog', 'true frog', 'animal', 'amphibian', 'lizard', 'reptile', 'anaxyrus', 'texas toad', 'different', 'bullfrog', 'several']",['tailed frog'],"['Head', 'Photograph', 'Vertebrate', 'White', 'Organ', 'Green', 'Organism', 'Mammal', 'Yellow', 'Iris']",['Animal']
https://pbs.twimg.com/media/D8hALwTWkAET-_f?format=jpg&name=900x900,"['tree', 'reptile', 'animal', 'outdoor', 'lizard', 'ground', 'flower']","['whiptail', 'green lizard']","['Flower', 'Plant', 'Beak', 'Petal', 'Wood', 'Trunk', 'Tree', 'Phasianidae', 'Terrestrial animal', 'Twig']","['Lizard', 'Flower', 'Insect']"
https://pbs.twimg.com/media/D8ea0CUVsAAzCUW?format=jpg&name=small,"['text', 'frog', 'animal', 'reptile', 'lizard', 'snake', 'amphibian', 'crocodile']",['tailed frog'],"['Photograph', 'Frog', 'Nature', 'True frog', 'True toad', 'Organism', 'Toad', 'Terrestrial animal', 'Fluid', 'Adaptation']",['Frog']
https://pbs.twimg.com/media/D-mqb4hU4AAw8vm?format=jpg&name=medium,"['frog', 'animal', 'grass', 'outdoor', 'reptile', 'lizard', 'amphibian', 'toad', 'true frog', 'true toad', 'crocodile', 'scaled reptile', 'iguania']",['tailed frog'],"['Frog', 'True toad', 'True frog', 'Anaxyrus', 'Toad', 'Organism', 'Grass', 'Plant', 'Terrestrial animal', 'Amphibian']",['Frog']
https://pbs.twimg.com/media/D_5ov1AWsAIEuiV?format=jpg&name=900x900,"['food', 'bratwurst', 'sausage', 'diot', 'kielbasa', 'thuringian sausage', 'cervelat', 'fast food', 'andouille', 'loukaniko', 'breakfast sausage', 'longaniza', 'boudin', 'knackwurst', 'italian sausage', 'root vegetable', 'plastic']",[],"['Food', 'Ingredient', 'Knackwurst', 'Cuisine', 'Fast food', 'Breakfast sausage', 'Dish', 'Sausage', 'Diot', 'Staple food']","['Knife', 'Food']"
https://pbs.twimg.com/media/EAnhFLmW4AAD2CF?format=jpg&name=small,"['animal', 'reptile', 'frog', 'amphibian', 'turtle', 'true frog', 'tortoise', 'toad', 'plant', 'true toad', 'sea turtle', 'snake', 'lizard', 'bullfrog', 'close']","['bullfrog', 'tailed frog']","['Head', 'Plant', 'Eye', 'Frog', 'True frog', 'Toad', 'Grass', 'Terrestrial animal', 'True toad', 'Amphibian']",['Frog']
https://pbs.twimg.com/media/EAkcPMQWwAEWnuk?format=jpg&name=large,"['grass', 'outdoor', 'rock', 'stone', 'plant', 'megalith']","['megalith', 'stone wall']","['Plant', 'Bedrock', 'Natural landscape', 'Grass', 'Groundcover', 'Grassland', 'Outcrop', 'Shrub', 'Landscape', 'Soil']",['Animal']
https://pbs.twimg.com/media/EAng2kvX4AANXzf?format=jpg&name=small,"['animal', 'reptile', 'frog', 'amphibian', 'turtle', 'true frog', 'tortoise', 'toad', 'plant', 'true toad', 'sea turtle', 'snake', 'lizard', 'bullfrog', 'close']","['bullfrog', 'tailed frog']","['Head', 'Plant', 'Eye', 'Frog', 'True frog', 'Toad', 'Grass', 'Terrestrial animal', 'True toad', 'Amphibian']",['Frog']
https://pbs.twimg.com/media/EBk-vmrXUAIsWFI?format=jpg&name=900x900,"['reptile', 'ground', 'animal', 'outdoor', 'lizard', 'snake', 'turtle', 'frog', 'crocodile', 'tortoise', 'scaled reptile', 'amphibian', 'leaf', 'plant', 'crocodilia', 'sea turtle', 'toad', 'alligator', 'terrestrial animal', 'true frog', 'american alligator', 'saltwater crocodile', 'nile crocodile']",['tailed frog'],"['Terrestrial plant', 'Terrestrial animal', 'Insect', 'Invertebrate', 'Plant pathology', 'Pollinator', 'Soil', 'Pattern', 'Flowering plant', 'Scaled reptile']","['Frog', 'Animal']"
https://pbs.twimg.com/tweet_video_thumb/ECp7VQBWkAII4rm.jpg,"['ground', 'outdoor']",['seashore'],"['Plant', 'Bird', 'Tree', 'Asphalt', 'Biome', 'Arecales', 'Landscape', 'Palm tree', 'Event', 'Road']",['Animal']
https://pbs.twimg.com/media/ECzgRRjWwAARyAO?format=jpg&name=small,"['animal', 'frog', 'reptile', 'crocodile', 'drawing', 'sketch', 'lizard']","['tailed frog', 'bullfrog']","['Frog', 'True frog', 'True toad', 'Toad', 'Terrestrial animal', 'Amphibian', 'Bullfrog', 'Wildlife', 'Bufo', 'Texas Toad']",['Frog']
https://pbs.twimg.com/media/ECYecPGUYAABfyY?format=jpg&name=small,"['frog', 'animal', 'reptile', 'amphibian', 'true frog', 'toad', 'lizard', 'true toad']",['tailed frog'],"['Head', 'Frog', 'Eye', 'True toad', 'True frog', 'Plant', 'Nature', 'Toad', 'Organism', 'Terrestrial animal']",['Frog']
https://pbs.twimg.com/media/EFi0H4WVUAAdkh_?format=jpg&name=medium,"['ground', 'animal', 'old', 'dirty', 'stone']",['tailed frog'],"['Scaled reptile', 'Reptile', 'Terrestrial animal', 'Wood', 'Lizard', 'Iguania', 'Amphibian', 'Soil', 'Dragon lizard', 'Wildlife']",['Frog']
https://pbs.twimg.com/media/EFWNbzRXoAETBM8?format=jpg&name=medium,"['reptile', 'frog', 'invertebrate', 'lizard', 'animal', 'amphibian', 'true frog', 'snake', 'turtle', 'toad', 'insect', 'tortoise', 'crab']",['tailed frog'],"['Frog', 'True frog', 'Arthropod', 'Toad', 'Organism', 'Terrestrial animal', 'Amphibian', 'Bullfrog', 'Decapoda', 'Art']",['Animal']
