"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"5903bb6e-8ee8-4935-876c-6f8a97d2e936","2021-01-12","reiner","-37.5286619444","146.6107375","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1998-01-09","","-41.43736413743559","147.11625130653593","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"27ce9d63-2a84-41b5-99ab-9e308b368bba","2018-01-30","","-33.3","149.1","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"","2015-01-29","","-41.6556","145.0819","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"c58a267d-5edf-449b-ac5e-410560555c6c","2021-01-02","stephen169","-35.0204666667","138.5620833333","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"8a578d91-2670-44d3-afd5-acbd21d27997","2021-01-20","fairypossum","-37.7928771972","144.8759307861","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0e63e261-858f-4e3b-84f5-be431e28a996","2020-01-19","reiner","-37.7539740784","145.686546098","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2010-01-06","","-37.0200982","144.84375","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"fdad49df-beba-496e-9c99-8f1857f0f2cb","2021-01-28","reiner","-37.87162","145.41725","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"6e92c9dd-c6f3-42c6-9b24-44df1ae7fede","2018-01-27","kenharris","-38.373467","146.415433","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"05d23aba-5a16-45a2-b944-3d577e6a3363","2018-01-01","reiner","-37.878","145.411","true","false","true","false","false","true","true","true","false","false","false","false","false","false","false"
"83a84cd1-ff7b-43b9-bd3b-02e2257ec855","2021-01-06","johneichler","-37.961525334","145.0281273433","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1996-01-04","","-43.41839472943817","146.16509879731447","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"39e562fe-e9fe-46e7-9fdd-44d4f0b7f1c3","2019-01-08","","-33.7","150.4","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"5614bd26-4d5c-4c7d-911d-6fe4ebacdbb7","2019-01-28","reiner","-36.3373855349","146.3189340806","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2010-01-16","","-37.0200982","144.84375","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1960-01-21","","-42.898","147.33","false","true","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","2016-01-06","1370","-37.85046","145.28863444","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"","1998-01-15","","-42.981095747554974","147.0553393278029","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"294334c1-02f5-4782-ac48-f786260bdf41","2021-01-07","a_kurek","-37.8985627045","145.5722400814","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"92391d3e-f8a1-46fd-9e79-8b79bca0d43a","2021-01-18","reiner","-36.3372066667","146.3188316667","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"9d25d3e9-aebb-4efd-ae71-4366d8f05cd8","2018-01-08","matthew_connors","-37.225001","142.538469","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"c00baab8-99f6-476c-851a-04ceb1332619","2016-01-09","kenharris","-38.361","146.41373","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1998-01-17","","-43.24668070584917","147.12948758294928","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"4987223c-2d9c-42b9-9c15-e60f53279654","2019-01-30","stephen169","-34.9290386313","138.799800368","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2015-01-27","","-41.5834","145.0923","false","false","false","false","true","false","false","false","false","true","false","false","false","false","true"
"c63dde7d-b3ce-489f-804c-ecd3f00bbbb9","2015-01-31","1370","-37.41572952270508","145.6981964111328","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"024f5554-80c0-4ab1-ad91-513fe79d4cfe","2020-01-28","reiner","-37.853664297","146.4312248022","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","1969-01-01","","-43.08","147.01","false","false","false","false","false","true","true","true","false","false","false","false","false","false","false"
"","1998-01-09","","-41.33609856724556","146.28187236380967","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"3f76e306-c3cc-48b5-a24c-6b4a734c39d3","2021-01-20","fairypossum","-37.7927207944","144.8754272458","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"23df9026-f200-486e-a7df-a37345aaac0d","2021-01-02","superstaryn","-35.16149167","149.1432805","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
